#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
TRIM38	6	+	25963029	25991454	25963029,25963276,25966562,25969552,25972096,25973281,25973400,25983391,	25963083,25963510,25967161,25969648,25972327,25973304,25973513,25991454,
HIST1H1A	6	-	26017312	26017960	26017312,	26017960,
HIST1H3A	6	+	26020717	26021128	26020717,	26021128,
HIST1H4A	6	+	26021906	26022218	26021906,	26022218,
HIST1H4B	6	-	26027123	26027480	26027123,	26027480,
HIST1H3B	6	-	26031877	26032288	26031877,	26032288,
HIST1H2AB	6	-	26033403	26033796	26033403,	26033796,
HIST1H2BB	6	-	26043504	26043885	26043504,	26043885,
HIST1H3C	6	+	26045638	26046049	26045638,	26046049,
HIST1H1C	6	-	26056014	26056656	26056014,	26056656,
HFE	6	+	26087546	26098571	26087546,26091068,26091541,26092912,26093346,26094413,	26087744,26091332,26091817,26093188,26093460,26098571,
HIST1H4C	6	+	26104103	26104538	26104103,	26104538,
HIST1H1T	6	-	26107646	26108364	26107646,	26108364,
HIST1H2BC	6	-	26115100	26124138	26115100,26123742,	26115363,26124138,
HIST1H2AC	6	+	26124372	26139330	26124372,26138281,	26124977,26139330,
HIST1H1E	6	+	26156581	26157335	26156581,	26157335,
HIST1H2BD	6	+	26158373	26158869	26158373,	26158869,
HIST1H2BE	6	+	26172286	26184883	26172286,26173990,26181394,26183534,	26173016,26174125,26181765,26184883,
HIST1H4D	6	-	26188992	26189304	26188992,	26189304,
RP1-34B20.21	6	-	26196981	26199521	26196981,26199086,	26197494,26199521,
HIST1H3D	6	-	26197067	26197478	26197067,	26197478,
HIST1H2AD	6	-	26199078	26199471	26199078,	26199471,
HIST1H2BF	6	+	26199747	26200942	26199747,	26200942,
HIST1H4E	6	+	26204779	26206266	26204779,	26206266,
HIST1H2BG	6	-	26216427	26216872	26216427,	26216872,
HIST1H2AE	6	+	26217202	26217711	26217202,	26217711,
HIST1H3E	6	+	26224426	26227701	26224426,26225129,	26224533,26227701,
HIST1H1D	6	-	26234495	26235161	26234495,	26235161,
HIST1H4F	6	+	26240560	26240976	26240560,	26240976,
HIST1H4G	6	-	26246908	26247205	26246908,	26247205,
HIST1H3F	6	-	26250422	26250833	26250422,	26250833,
HIST1H2BH	6	+	26251878	26253938	26251878,	26253938,
HIST1H3G	6	-	26269632	26272043	26269632,	26272043,
HIST1H2BI	6	+	26273203	26273584	26273203,	26273584,
HIST1H4H	6	-	26281282	26285762	26281282,26285261,	26281815,26285762,
BTN3A2	6	+	26365458	26375965	26365458,26368202,26368410,26368792,26370549,26373124,26373503,26373614,26374554,26374998,26375742,	26365580,26368278,26368495,26369140,26370831,26373325,26373524,26373641,26374601,26375026,26375965,
BTN2A2	6	+	26383328	26395102	26383328,26384019,26385242,26388240,26390232,26390914,26391030,26392602,	26383409,26384143,26385590,26388522,26390439,26390935,26391057,26395102,
BTN3A1	6	+	26402464	26415444	26402464,26405599,26406136,26407898,26409760,26410121,26410233,26411336,26411782,26413396,	26402640,26405876,26406484,26408180,26409961,26410142,26410260,26411363,26411809,26415444,
BTN3A3	6	+	26440699	26453643	26440699,26443609,26443797,26444184,26445931,26448475,26448844,26448955,26449889,26450334,26451902,	26440876,26443670,26443887,26444532,26446213,26448676,26448865,26448982,26449916,26450361,26453643,
BTN2A1	6	+	26458152	26469865	26458152,26458834,26459708,26463471,26465412,26466180,26466289,26468175,	26458370,26458946,26460056,26463753,26465634,26466201,26466316,26469865,
BTN1A1	6	+	26501448	26510650	26501448,26501817,26505152,26506910,26508177,26508288,26508728,	26501593,26502165,26505434,26507060,26508198,26508315,26510650,
HMGN4	6	+	26538632	26546482	26538632,26545354,	26538729,26546482,
ABT1	6	+	26597179	26600972	26597179,26598141,26598492,	26597451,26598338,26600972,
ZNF322	6	-	26634610	26659980	26634610,26643886,26658785,26659668,	26638956,26643956,26658874,26659980,
HIST1H2BJ	6	-	27093675	27100529	27093675,27100145,	27094241,27100529,
HIST1H2AG	6	+	27100820	27103070	27100820,	27103070,
HIST1H4I	6	+	27106366	27107660	27106366,	27107660,
HIST1H2BK	6	-	27114196	27114577	27114196,	27114577,
HIST1H2AH	6	+	27114907	27115294	27114907,	27115294,
PRSS16	6	+	27215501	27224250	27215501,27215660,27216625,27216878,27218461,27218820,27218995,27219528,27220586,27222471,27222764,27223025,	27215586,27215827,27216725,27217008,27218585,27218898,27219043,27219819,27220728,27222651,27222910,27224250,
POM121L2	6	-	27276841	27279949	27276841,	27279949,
ZNF391	6	+	27356496	27371683	27356496,27367220,27368071,	27356854,27367329,27371683,
ZNF184	6	-	27418521	27440897	27418521,27424604,27425061,27435631,27440066,27440751,	27421039,27424700,27425188,27435699,27440212,27440897,
HIST1H2BL	6	-	27775221	27775709	27775221,	27775709,
HIST1H2AI	6	+	27775976	27776479	27775976,	27776479,
HIST1H3H	6	+	27777841	27779078	27777841,	27779078,
HIST1H2AJ	6	-	27782131	27782518	27782131,	27782518,
HIST1H2BM	6	+	27782821	27783202	27782821,	27783202,
HIST1H4J	6	+	27791885	27792258	27791885,	27792258,
HIST1H4K	6	-	27798993	27799305	27798993,	27799305,
HIST1H2BN	6	+	27805537	27807260	27805537,	27807260,
HIST1H2AK	6	-	27805724	27806117	27805724,	27806117,
HIST1H2AL	6	+	27833132	27833525	27833132,	27833525,
HIST1H1B	6	-	27834626	27835307	27834626,	27835307,
HIST1H3I	6	-	27839682	27840093	27839682,	27840093,
HIST1H4L	6	-	27840976	27841288	27840976,	27841288,
HIST1H3J	6	-	27858159	27858570	27858159,	27858570,
HIST1H2AM	6	-	27860534	27860927	27860534,	27860927,
HIST1H2BO	6	+	27861240	27861621	27861240,	27861621,
OR2B2	6	-	27878962	27880174	27878962,	27880174,
OR2B6	6	+	27925018	27925960	27925018,	27925960,
ZNF165	6	+	28048752	28057341	28048752,28053258,28053949,28056340,	28049308,28053669,28054088,28057341,
ZSCAN16	6	+	28092337	28097860	28092337,28093190,28094560,28097207,	28092455,28093608,28094699,28097860,
ZKSCAN8	6	+	28109715	28121851	28109715,28112108,28116093,28117260,28119622,28120038,28120833,	28109807,28112202,28116602,28117402,28119714,28120162,28121851,
ZSCAN9	6	+	28193069	28201244	28193069,28194789,28195467,28200339,	28193144,28195282,28195615,28201244,
ZKSCAN4	6	-	28212400	28220002	28212400,28214746,28215844,28217464,28219335,	28213753,28214870,28215927,28217612,28220002,
NKAPL	6	+	28227097	28228736	28227097,	28228736,
RP5-874C20.8	6	+	28234898	28249357	28234898,28239631,28240446,28249092,	28234991,28239712,28240564,28249357,
ZSCAN26	6	+	28234930	28245307	28234930,28239631,28240446,28243971,	28234991,28240113,28240564,28245307,
PGBD1	6	+	28249348	28270326	28249348,28251532,28253327,28254856,28264592,28265671,28268500,	28249695,28251986,28253484,28254945,28264722,28265768,28270326,
ZSCAN31	6	-	28292513	28321972	28292513,28295159,28297079,28304566,28305532,28309522,28321638,28321907,	28294631,28295310,28297491,28304720,28305670,28309569,28321729,28321972,
ZKSCAN3	6	+	28317690	28336954	28317690,28327301,28329100,28331079,28331468,28333202,	28317844,28327765,28329248,28331162,28331592,28336954,
ZSCAN12	6	-	28346731	28367511	28346731,28358372,28360678,28365780,28367433,	28350386,28359519,28360823,28366250,28367511,
ZSCAN23	6	-	28400431	28411244	28400431,28403236,28403635,28411175,	28402855,28403384,28404120,28411244,
GPX6	6	-	28471072	28483570	28471072,28473479,28474088,28478527,28483433,	28472275,28473579,28474206,28478681,28483570,
GPX5	6	+	28493701	28502729	28493701,28497227,28499554,28500097,28501737,	28493877,28497381,28499672,28500197,28502729,
ZBED9	6	-	28539406	28555112	28539406,28542420,28547048,28554074,	28541604,28543913,28547196,28555112,
TRIM27	6	-	28870778	28891766	28870778,28875012,28876584,28876749,28879472,28887788,28889668,28890989,	28872442,28875039,28876617,28876865,28879495,28888019,28889764,28891766,
ZNF311	6	-	28962561	28973037	28962561,28966510,28967263,28967732,28971289,28971722,28972784,	28964363,28966615,28967390,28967824,28971371,28971991,28973037,
OR2W1	6	-	29011989	29013017	29011989,	29013017,
OR2B3	6	-	29054083	29055090	29054083,	29055090,
OR2J1	6	+	29068385	29069658	29068385,	29069658,
OR2J3	6	+	29079667	29080603	29079667,	29080603,
OR2J2	6	+	29141079	29142351	29141079,	29142351,
OR14J1	6	+	29274466	29275432	29274466,	29275432,
OR5V1	6	-	29323006	29399744	29323006,29390383,29390801,29399640,	29324054,29390459,29390839,29399744,
OR12D3	6	-	29341199	29343068	29341199,	29343068,
OR12D2	6	+	29364331	29365400	29364331,	29365400,
OR12D1	6	+	29385056	29386003	29385056,	29386003,
OR11A1	6	-	29393280	29395509	29393280,	29395509,
OR10C1	6	+	29407082	29408731	29407082,	29408731,
OR2H1	6	+	29424957	29432105	29424957,29426230,29428180,29429275,	29424984,29426346,29428231,29432105,
MAS1L	6	-	29454473	29455733	29454473,	29455733,
UBD	6	-	29523291	29527702	29523291,29527451,	29524127,29527702,
OR2H2	6	+	29555231	29556815	29555231,	29556815,
GABBR1	6	-	29570014	29600962	29570014,29572270,29572636,29573345,29574167,29574673,29574878,29576377,29577005,29578700,29580327,29581019,29588877,29589528,29589880,29591081,29591666,29595262,29596863,29598234,29599172,29600077,29600626,	29571493,29572414,29572765,29573473,29574261,29574781,29574995,29576510,29577156,29578778,29580391,29581262,29589069,29589594,29589982,29591252,29591801,29595423,29596884,29598420,29599376,29600162,29600962,
MOG	6	+	29624986	29639495	29624986,29627095,29633928,29635419,29635680,29638057,29638477,29639198,	29625074,29627443,29634042,29635440,29635701,29638174,29638498,29639495,
ZFP57	6	-	29640168	29644931	29640168,29643162,29643709,29644657,	29641535,29643264,29643836,29644931,
HLA-F	6	+	29691055	29695073	29691055,29691434,29691949,29692807,29693223,29693787,29694659,	29691304,29691704,29692225,29693083,29693340,29693820,29695073,
HLA-G	6	+	29794755	29798899	29794755,29795509,29795823,29796319,29797194,29797592,29798154,29798544,	29794821,29795694,29796093,29796595,29797470,29797709,29798187,29798899,
HLA-A	6	+	29909036	29913661	29909036,29909742,29910180,29910533,29911044,29911898,29912276,29912835,29913010,29913227,	29909096,29909873,29910403,29910803,29911320,29912174,29912393,29912868,29913058,29913661,
ZNRD1	6	+	30029030	30032686	30029030,30029693,30030000,30032449,	30029446,30029794,30030110,30032686,
PPP1R11	6	+	30034864	30038110	30034864,30036366,30036880,	30035256,30036475,30038110,
RNF39	6	-	30038042	30043664	30038042,30040933,30041232,30042999,	30039468,30041025,30041255,30043664,
TRIM31	6	-	30070673	30080883	30070673,30071878,30072944,30075829,30076802,30078224,30079424,30080165,30080840,	30071566,30071944,30073019,30075945,30076825,30078455,30079520,30080665,30080883,
TRIM40	6	+	30104786	30116512	30104786,30113770,30114848,30115296,30115501,	30105158,30113866,30114986,30115319,30116512,
TRIM10	6	-	30119721	30128711	30119721,30123503,30124715,30125145,30126175,30126926,30128206,	30122263,30123536,30124831,30125168,30126406,30127022,30128711,
TRIM15	6	+	30130992	30140473	30130992,30134952,30136076,30137017,30138277,30138752,30139608,	30131842,30135048,30136307,30137040,30138393,30138785,30140473,
TRIM26	6	-	30152231	30172542	30152231,30156943,30157194,30157789,30164292,30166205,30166442,30168811,30172432,	30154335,30156976,30157310,30157812,30164523,30166301,30166930,30168860,30172542,
TRIM39	6	+	30294620	30311505	30294620,30296665,30297087,30298557,30303521,30307684,30308048,30308281,30309488,	30294772,30296818,30297547,30298653,30303752,30307707,30308138,30308397,30311505,
TRIM39-RPP21	6	+	30296683	30314631	30296683,30297087,30298557,30303521,30307684,30308281,30309488,30313074,30313267,30314208,30314489,	30296818,30297547,30298653,30303752,30307707,30308397,30309673,30313175,30313350,30314334,30314631,
RPP21	6	+	30312935	30314634	30312935,30313074,30313267,30314208,30314489,	30313005,30313175,30313350,30314334,30314634,
HLA-E	6	+	30457243	30461982	30457243,30457502,30458016,30458913,30459313,30460180,30460317,30460525,	30457372,30457772,30458292,30459189,30459430,30460213,30460360,30461982,
GNL1	6	-	30509153	30524951	30509153,30514472,30514888,30515128,30520243,30520860,30521126,30522351,30522540,30522831,30523331,30523907,	30514090,30514613,30515051,30515307,30520438,30520956,30521334,30522423,30522692,30522968,30523497,30524951,
PRR3	6	+	30524662	30531500	30524662,30525926,30529610,30530165,	30525227,30525989,30529901,30531500,
ABCF1	6	+	30539152	30559309	30539152,30545185,30545594,30545852,30546124,30546246,30547707,30548182,30550170,30550842,30551384,30551581,30551968,30552194,30553036,30553334,30553655,30553910,30554250,30554417,30557464,30557582,30557925,30558082,30558311,	30539337,30545232,30545690,30545979,30546162,30546354,30547782,30548296,30550284,30550965,30551485,30551667,30552108,30552343,30553120,30553459,30553768,30554082,30554325,30554488,30557497,30557751,30557990,30558155,30559309,
PPP1R10	6	-	30568176	30585021	30568176,30569712,30570622,30570986,30571248,30571556,30571784,30572129,30572364,30572770,30573699,30573914,30574244,30574555,30575616,30576555,30576853,30577614,30584254,30585000,	30569435,30570468,30570736,30571062,30571443,30571620,30572031,30572288,30572512,30572871,30573812,30574020,30574418,30574633,30575668,30576691,30576940,30577732,30584775,30585021,
MRPS18B	6	+	30585485	30594172	30585485,30587269,30587485,30587697,30590608,30592659,30593278,	30585720,30587378,30587583,30587766,30590675,30592719,30594172,
ATAT1	6	+	30594662	30612456	30594662,30595236,30595412,30595627,30595808,30596105,30608153,30608311,30609952,30610544,30611305,	30594769,30595297,30595504,30595688,30595922,30596207,30608199,30608380,30610024,30610788,30612456,
C6orf136	6	+	30614849	30620987	30614849,30617334,30618770,30619042,30620424,30620578,	30615080,30617736,30618859,30619243,30620494,30620987,
DHX16	6	-	30620895	30640814	30620895,30622482,30622951,30623211,30623974,30624167,30624373,30624728,30627248,30627512,30627808,30630403,30630687,30632577,30632847,30633255,30638186,30638566,30638812,30640411,	30621147,30622656,30623113,30623374,30624042,30624286,30624536,30624869,30627401,30627611,30628019,30630519,30630798,30632769,30633051,30633510,30638243,30638729,30639051,30640814,
PPP1R18	6	-	30644165	30654993	30644165,30646955,30652184,30654890,	30645065,30647166,30653823,30654993,
NRM	6	-	30655823	30659197	30655823,30657052,30657823,30658618,30659152,	30656719,30657229,30658020,30659058,30659197,
MDC1	6	-	30667583	30685666	30667583,30670329,30670528,30670880,30671194,30671397,30675160,30675342,30679188,30679443,30679650,30681424,30681579,30682816,30685021,	30668409,30670440,30670654,30671063,30671314,30673875,30675231,30676134,30679281,30679503,30681131,30681494,30681960,30682955,30685666,
TUBB	6	+	30687977	30693203	30687977,30690313,30690694,30691116,	30688340,30690422,30690805,30693203,
FLOT1	6	-	30695485	30710510	30695485,30697798,30698204,30698458,30698695,30707934,30708272,30708455,30708966,30709390,30709568,30709923,30710303,	30695922,30697963,30698342,30698504,30698877,30708087,30708368,30708575,30709110,30709481,30709644,30709980,30710510,
IER3	6	-	30710975	30712331	30710975,30712085,	30711973,30712331,
DDR1	6	+	30850389	30867617	30850389,30856464,30856684,30856978,30858749,30859156,30859778,30860072,30860844,30861048,30862282,30864397,30864790,30865155,30865849,30866664,30866932,	30850760,30856591,30856787,30857207,30858897,30859256,30859965,30860319,30860940,30861200,30862448,30864642,30864918,30865374,30866084,30866814,30867617,
GTF2H4	6	+	30875960	30881883	30875960,30876810,30877211,30877708,30878441,30878629,30878934,30879207,30879460,30879790,30880104,30880886,30881085,30881587,	30876180,30876950,30877316,30877840,30878538,30878718,30879046,30879276,30879544,30879923,30880235,30880934,30881164,30881883,
VARS2	6	+	30881981	30894236	30881981,30882932,30883131,30883522,30883757,30883928,30884654,30884881,30885471,30886603,30887534,30887865,30888109,30888444,30888841,30889006,30889365,30889701,30889892,30890226,30890482,30890674,30890880,30891129,30892130,30893050,30893320,30893656,30893885,	30882814,30883014,30883232,30883644,30883824,30884026,30884736,30885001,30885583,30886692,30887625,30887993,30888213,30888526,30888918,30889082,30889468,30889772,30890018,30890331,30890551,30890753,30891008,30891282,30892337,30893162,30893496,30893785,30894236,
SFTA2	6	-	30899129	30899952	30899129,30899483,30899812,	30899351,30899572,30899952,
DPCR1	6	+	30908748	30921998	30908748,30916323,30920747,	30908858,30920276,30921998,
MUC21	6	+	30951494	30957680	30951494,30954013,30955776,	30951796,30955458,30957680,
MUC22	6	+	30978250	31003179	30978250,30993278,30999972,31002448,	30978553,30997877,31000358,31003179,
C6orf15	6	-	31078999	31080336	31078999,31080265,	31080068,31080336,
PSORS1C1	6	+	31082607	31107869	31082607,31093452,31097345,31106206,31106432,31107417,	31082668,31093616,31097422,31106236,31106556,31107869,
CDSN	6	-	31082866	31088223	31082866,31088111,	31085306,31088223,
PSORS1C2	6	-	31105312	31107127	31105312,31106748,	31106083,31107127,
CCHCR1	6	-	31110215	31126015	31110215,31110739,31111038,31112463,31112661,31112942,31113224,31113472,31116181,31116394,31117842,31118231,31118501,31118735,31122272,31124507,31124799,31125943,	31110493,31110911,31111190,31112565,31112850,31113079,31113270,31113585,31116288,31116505,31117992,31118342,31118637,31118899,31122576,31124721,31124866,31126015,
TCF19	6	+	31126318	31131992	31126318,31126673,31129223,31130253,	31126499,31127484,31129782,31131992,
POU5F1	6	-	31132113	31138470	31132113,31132904,31133347,31133703,31137992,	31132644,31133063,31133478,31133824,31138470,
HCG27	6	+	31165536	31171745	31165536,31170148,	31165659,31171745,
HLA-C	6	-	31236525	31239863	31236525,31237114,31237269,31237742,31237986,31238849,31239375,31239775,	31236950,31237162,31237302,31237862,31238262,31239125,31239645,31239863,
HLA-B	6	-	31321648	31324964	31321648,31322255,31322409,31322883,31323093,31323943,31324464,31324862,	31322073,31322303,31322442,31323000,31323369,31324219,31324734,31324964,
MICA	6	+	31371355	31383092	31371355,31378319,31378848,31379723,31380101,31382788,	31371479,31378574,31379136,31380002,31380237,31383092,
MICB	6	+	31465891	31478901	31465891,31473393,31473919,31474798,31475176,31477558,	31466040,31473648,31474207,31475077,31475308,31478901,
MCCD1	6	+	31496493	31498009	31496493,31497523,	31496962,31498009,
ATP6V1G2-DDX39B	6	-	31497995	31514359	31497995,31498555,31498829,31499072,31500556,31503143,31504276,31506539,31506923,31508098,31509726,31513885,31514254,	31498227,31498703,31498974,31499182,31500688,31503262,31504460,31506632,31507051,31508441,31509925,31513986,31514359,
DDX39B	6	-	31497995	31510225	31497995,31498555,31498829,31499072,31500556,31503143,31504276,31506539,31506923,31508098,31509726,	31498227,31498703,31498974,31499182,31500688,31503262,31504460,31506632,31507051,31508441,31510225,
ATP6V1G2	6	-	31512238	31514621	31512238,31513885,31514254,	31513358,31513986,31514621,
NFKBIL1	6	+	31515357	31526606	31515357,31515939,31525404,31525798,	31515528,31516216,31525626,31526606,
LTA	6	+	31539830	31542101	31539830,31540510,31540704,31541057,	31540079,31540618,31540810,31542101,
TNF	6	+	31543343	31546113	31543343,31544310,31544543,31544892,	31543704,31544356,31544591,31546113,
LTB	6	-	31548331	31550202	31548331,31549335,31549590,31550032,	31548940,31549407,31549636,31550202,
LST1	6	+	31553900	31556686	31553900,31554976,31555720,31556294,	31554092,31555095,31555743,31556686,
NCR3	6	-	31556671	31560762	31556671,31557302,31557558,31560455,	31556953,31557410,31557903,31560762,
AIF1	6	+	31582960	31584798	31582960,31583297,31583446,31583880,31584120,31584592,	31583131,31583359,31583513,31583922,31584283,31584798,
PRRC2A	6	+	31588496	31605548	31588496,31590503,31591508,31592037,31592226,31592947,31593236,31593568,31593796,31594548,31594758,31595541,31596920,31597324,31598367,31598915,31601155,31601635,31602012,31602248,31602529,31602908,31603170,31603358,31603743,31603985,31604286,31604509,31604818,31605010,31605222,	31588635,31590678,31591686,31592137,31592299,31593091,31593388,31593648,31593939,31594639,31594975,31596016,31597111,31597622,31598578,31600769,31601424,31601766,31602142,31602334,31602754,31603049,31603242,31603526,31603826,31604196,31604385,31604722,31604913,31605101,31605548,
BAG6	6	-	31606804	31620170	31606804,31607276,31607975,31608161,31608421,31608568,31608880,31609096,31609315,31609552,31609888,31610605,31611666,31611858,31612301,31612722,31613183,31614170,31615367,31616453,31616687,31616975,31617286,31619432,31620023,	31607003,31607423,31608083,31608305,31608481,31608715,31609005,31609199,31609369,31609722,31610180,31610892,31611754,31611971,31612379,31612975,31613381,31614300,31615603,31616528,31616741,31617172,31617404,31619553,31620170,
APOM	6	+	31623247	31625987	31623247,31624248,31625001,31625156,31625401,31625840,	31623857,31624403,31625075,31625255,31625500,31625987,
C6orf47	6	-	31626074	31628549	31626074,	31628549,
GPANK1	6	-	31629005	31634060	31629005,31631629,31632617,31633637,	31630487,31632354,31632780,31634060,
CSNK2B	6	+	31633840	31637847	31633840,31634597,31635644,31636315,31636873,31637095,31637612,	31633985,31634680,31635747,31636431,31636949,31637285,31637847,
XXbac-BPG32J3.22	6	+	31633878	31641323	31633878,31634597,31635644,31636315,31636873,31637095,31638932,31639640,	31633985,31634680,31635747,31636431,31636949,31637285,31639061,31641323,
LY6G5B	6	+	31637943	31641323	31637943,31638932,31639640,	31638785,31639061,31641323,
LY6G5C	6	-	31644516	31648154	31644516,31646877,31648029,	31644897,31647045,31648154,
ABHD16A	6	-	31654725	31671221	31654725,31655274,31655418,31655600,31655817,31656025,31656499,31656791,31657357,31657854,31658315,31659355,31659580,31660803,31661135,31664724,31668718,31669050,31669850,31670926,	31655072,31655321,31655517,31655677,31655880,31656082,31656563,31656896,31657481,31657904,31658379,31659457,31659695,31660926,31661209,31664810,31668805,31669117,31669907,31671221,
XXbac-BPG32J3.20	6	-	31654738	31681849	31654738,31655274,31655418,31655600,31655817,31656025,31656499,31656791,31657357,31657854,31658315,31659355,31659580,31660803,31661135,31664724,31668718,31669050,31669850,31679793,31680440,31681537,	31655072,31655321,31655517,31655677,31655880,31656082,31656563,31656896,31657481,31657904,31658379,31659457,31659695,31660926,31661209,31664810,31668805,31669117,31669907,31679892,31680566,31681849,
LY6G6F	6	+	31674661	31678372	31674661,31675234,31675647,31677802,31678128,31678343,	31674735,31675564,31675911,31677958,31678195,31678372,
XXbac-BPG32J3.19	6	+	31674680	31685695	31674680,31675234,31675647,31677802,31683278,31685357,	31674735,31675564,31675911,31677958,31683401,31685695,
LY6G6E	6	-	31680112	31681589	31680112,31680440,31681537,	31680317,31680566,31681589,
LY6G6D	6	+	31683132	31685581	31683132,31683278,31685357,	31683187,31683401,31685581,
LY6G6C	6	-	31686424	31689622	31686424,31687869,31689404,	31687087,31687980,31689622,
DDAH2	6	-	31694814	31697569	31694814,31695319,31695949,31696227,31696422,31696641,	31695130,31695469,31696069,31696301,31696522,31697569,
CLIC1	6	-	31698357	31704344	31698357,31699993,31701342,31701612,31701930,31704038,	31698780,31700175,31701449,31701738,31702040,31704344,
MSH5	6	+	31707724	31730611	31707724,31708230,31708939,31710653,31710884,31711680,31711966,31712322,31713013,31715163,31721077,31721343,31725941,31726324,31726542,31726873,31727201,31727562,31727866,31728466,31728964,31729248,31729594,31729888,31730196,	31707997,31708390,31709063,31710734,31710947,31711802,31712076,31712358,31713096,31715209,31721216,31721406,31726070,31726397,31726652,31726954,31727289,31727752,31727993,31728616,31729039,31729392,31729732,31729962,31730611,
MSH5-SAPCD1	6	+	31707796	31732627	31707796,31708230,31708939,31710653,31710884,31711680,31711915,31712322,31713013,31715163,31721077,31721343,31725941,31726324,31726542,31726873,31727201,31727562,31727866,31728466,31728964,31729248,31729594,31729888,31730196,31731191,31731840,31732042,31732212,	31707839,31708390,31709063,31710734,31710947,31711802,31712076,31712358,31713096,31715209,31721216,31721406,31726070,31726397,31726652,31726954,31727289,31727752,31727993,31728616,31729039,31729392,31729732,31729962,31730945,31731332,31731936,31732132,31732627,
SAPCD1	6	+	31730772	31732628	31730772,31731191,31731840,31732042,31732212,	31730945,31731332,31731936,31732132,31732628,
VWA7	6	-	31733366	31745071	31733366,31733659,31734021,31734239,31734934,31735138,31735398,31736794,31737451,31737777,31740730,31741018,31742292,31743109,31743740,31744322,31744885,	31733547,31733834,31734161,31734541,31735027,31735291,31735531,31736980,31737568,31737890,31740900,31741214,31742403,31743206,31744019,31744571,31745071,
VARS	6	-	31745294	31763730	31745294,31746743,31747201,31747384,31747774,31748217,31748481,31748646,31748795,31749257,31749467,31749623,31749863,31750061,31750306,31750497,31750872,31751990,31752170,31752371,31753022,31753345,31759386,31759647,31759993,31760168,31760533,31760762,31762607,31763322,	31745439,31747069,31747313,31747591,31747930,31748345,31748560,31748715,31748900,31749383,31749538,31749729,31749954,31750220,31750410,31750622,31750963,31752085,31752279,31752491,31753104,31753510,31759514,31759748,31760078,31760293,31760672,31760897,31763027,31763730,
LSM2	6	-	31765172	31774761	31765172,31765766,31766253,31773851,31774531,	31765659,31765826,31766284,31773919,31774761,
HSPA1L	6	-	31777395	31782842	31777395,31782665,	31779762,31782842,
HSPA1A	6	+	31783240	31785723	31783240,	31785723,
HSPA1B	6	+	31795511	31798032	31795511,	31798032,
C6orf48	6	+	31802384	31807538	31802384,31803187,31805012,31807319,	31802977,31803228,31805212,31807538,
NEU1	6	-	31826828	31830683	31826828,31827818,31828215,31828964,31829775,31830394,	31827722,31828041,31828398,31829227,31829968,31830683,
SLC44A4	6	-	31830968	31846778	31830968,31832428,31832592,31832786,31833091,31833274,31833466,31833649,31836931,31837321,31838379,31838588,31839090,31839250,31842236,31842497,31842705,31843628,31843832,31844810,31846717,	31831525,31832513,31832687,31832857,31833165,31833378,31833561,31833903,31837034,31837414,31838479,31838824,31839174,31839338,31842297,31842623,31842805,31843707,31843906,31844859,31846778,
EHMT2	6	-	31847535	31864999	31847535,31848449,31848790,31850475,31850670,31851138,31851582,31852168,31852421,31852688,31854357,31854551,31854771,31855353,31855555,31855817,31856139,31856375,31857004,31857244,31860183,31860470,31860602,31864039,31864382,31864699,	31848041,31848625,31848869,31850562,31850786,31851216,31851727,31852336,31852576,31852793,31854459,31854674,31854878,31855436,31855738,31856053,31856283,31856524,31857119,31857379,31860339,31860511,31860687,31864293,31864601,31864999,
ZBTB12	6	-	31867383	31869769	31867383,31869613,	31869102,31869769,
C2	6	+	31895253	31913449	31895253,31895731,31896508,31901386,31901643,31901942,31903699,31905095,31907007,31910735,31911001,31911192,31911420,31911693,31911911,31912503,31912756,31912954,	31895575,31895941,31896694,31901560,31901742,31902076,31903838,31905236,31907097,31910876,31911096,31911304,31911586,31911770,31912003,31912630,31912806,31913449,
XXbac-BPG116M5.17	6	+	31895474	31919825	31895474,31895731,31901386,31901643,31905095,31907007,31910735,31911001,31911192,31911420,31911693,31911911,31912503,31914149,31914783,31915124,31915518,31915721,31916150,31916606,31917019,31917196,31917826,31918062,31918395,31918644,31918920,31919117,31919331,31919651,	31895575,31895941,31901560,31901742,31905236,31907097,31910876,31911096,31911304,31911586,31911770,31912003,31912630,31914383,31914969,31915298,31915620,31915858,31916289,31916738,31917121,31917334,31917924,31918180,31918549,31918721,31919021,31919250,31919381,31919825,
CFB	6	+	31913485	31919861	31913485,31914149,31914783,31915124,31915518,31915721,31916150,31916606,31917019,31917196,31917826,31918062,31918395,31918644,31918920,31919117,31919331,31919651,	31914062,31914383,31914969,31915298,31915620,31915858,31916289,31916738,31917121,31917334,31917924,31918180,31918549,31918721,31919021,31919250,31919381,31919861,
NELFE	6	-	31919863	31926887	31919863,31921505,31921856,31922074,31922331,31922835,31922995,31924469,31924717,31926148,31926668,	31920175,31921608,31921911,31922219,31922669,31922873,31923070,31924615,31924787,31926231,31926887,
